record_ID,units_sold
212645,19.0
212646,18.0
212647,22.0
212648,24.0
212649,23.0
212653,20.0
212654,29.0
212657,13.0
212658,11.0
212661,151.0
212662,82.0
212663,55.0
212666,67.0
212667,83.0
212668,120.0
212671,41.0
212672,118.0
212673,61.0
212674,325.0
212675,23.0
212676,15.0
212677,75.0
212678,50.0
212679,39.0
212681,37.0
212682,76.0
212683,21.0
212686,88.0
212687,95.0
212688,18.0
212689,6.0
212691,22.0
212692,50.0
212693,38.0
212694,42.0
212695,41.0
212696,31.0
212697,88.0
212698,30.0
212699,174.0
212700,23.0
212701,26.0
212702,35.0
212703,42.0
212704,30.0
212705,29.0
212706,32.0
212707,42.0
212709,10.0
212710,16.0
212711,36.0
212712,42.0
212713,28.0
212716,28.0
212717,29.0
212718,16.0
212719,20.0
212721,89.0
212722,24.0
212723,112.0
212724,14.0
212725,10.0
212727,29.0
212728,48.0
212729,33.0
212731,40.0
212732,53.0
212734,6.0
212735,8.0
212736,13.0
212737,220.0
212738,196.0
212739,70.0
212740,18.0
212742,76.0
212743,118.0
212744,188.0
212748,187.0
212749,87.0
212750,396.0
212751,35.0
212752,27.0
212754,112.0
212755,65.0
212756,76.0
212757,41.0
212758,71.0
212759,124.0
212760,9.0
212761,83.0
212763,11.0
212764,87.0
212765,83.0
212767,36.0
212768,40.0
212769,71.0
212772,38.0
212773,56.0
212774,29.0
212775,137.0
212776,13.0
212777,8.0
212778,46.0
212779,24.0
212782,50.0
212783,63.0
212787,157.0
212788,88.0
212789,70.0
212790,17.0
212792,69.0
212793,86.0
212794,121.0
212796,134.0
212797,105.0
212798,319.0
212799,28.0
212800,13.0
212802,76.0
212803,54.0
212805,41.0
212806,62.0
212807,113.0
212809,33.0
212812,37.0
212816,15.0
212817,31.0
212818,27.0
212819,21.0
212820,20.0
212821,32.0
212822,65.0
212823,22.0
212824,101.0
212825,16.0
212826,13.0
212828,29.0
212829,43.0
212830,31.0
212831,31.0
212832,47.0
212833,42.0
